"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2014021127","20142015","R",2015-03-29,"25","23",4,3,"away win OT","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2014020148","20142015","R",2014-10-31,"10","29",4,1,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020268","20142015","R",2014-11-19,"28","7",1,4,"home win REG","left","First Niagara Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020487","20142015","R",2014-12-21,"16","29",2,3,"home win SO","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020481","20142015","R",2014-12-21,"4","10",7,4,"away win REG","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2014020492","20142015","R",2014-12-21,"25","22",6,5,"away win SO","left","Rexall Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2014020927","20142015","R",2015-02-28,"53","6",1,4,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021085","20142015","R",2015-03-23,"30","10",2,1,"away win REG","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2014020550","20142015","R",2015-01-01,"1","17",1,3,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2014020985","20142015","R",2015-03-08,"3","16",1,0,"away win OT","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020683","20142015","R",2015-01-21,"9","3",2,3,"home win OT","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020045","20162017","R",2016-10-19,"4","16",4,7,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2017020812","20172018","R",2018-02-07,"24","7",4,3,"away win OT","left","KeyBank Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015020314","20152016","R",2015-11-24,"21","52",4,1,"away win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2015020849","20152016","R",2016-02-17,"52","12",1,2,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020586","20172018","R",2017-12-30,"20","24",1,2,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2016020610","20162017","R",2017-01-10,"15","8",4,1,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2015020606","20152016","R",2016-01-08,"10","26",1,2,"home win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020240","20172018","R",2017-11-10,"23","24",1,4,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020624","20172018","R",2018-01-05,"29","21",0,2,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2015020346","20152016","R",2015-11-29,"22","5",3,2,"away win SO","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020221","20172018","R",2017-11-07,"52","25",4,1,"away win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020298","20162017","R",2016-11-24,"2","26",2,4,"home win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2017020731","20172018","R",2018-01-23,"2","53",2,3,"home win OT","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2016020205","20162017","R",2016-11-11,"52","53",3,2,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2016020246","20162017","R",2016-11-18,"52","4",2,5,"home win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016020107","20162017","R",2016-10-28,"16","1",3,2,"away win OT","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2016021020","20162017","R",2017-03-14,"5","20",3,4,"home win SO","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2017020986","20172018","R",2018-03-02,"14","25",5,4,"away win OT","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2017021124","20172018","R",2018-03-20,"22","12",7,3,"away win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2015020981","20152016","R",2016-03-06,"5","1",6,1,"away win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020146","20172018","R",2017-10-27,"2","30",4,6,"home win REG","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2016020716","20162017","R",2017-01-25,"29","2",2,4,"home win REG","left","Barclays Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020001","20172018","R",2017-10-04,"10","52",7,2,"away win REG","right","Bell MTS Place","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2016020933","20162017","R",2017-03-01,"10","28",1,3,"home win REG","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2015021066","20152016","R",2016-03-19,"6","24",0,4,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2015020086","20152016","R",2015-10-21,"14","18",4,5,"home win SO","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2017020482","20172018","R",2017-12-15,"1","8",1,2,"home win OT","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2016021163","20162017","R",2017-04-01,"9","52",2,4,"home win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2015020687","20152016","R",2016-01-20,"22","14",4,6,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2017020706","20172018","R",2018-01-20,"8","15",3,2,"away win REG","right","Capital One Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
